userName,content,score,thumbs_up_count,review_version,review_date,reply_content,app_version,company
Mohd Athar,Always late delever need to improve service,1,0,8.29,11-08-2025,"Hi flipkart user, we are sorry about your bad experience with us. please get in touch with us at www.flipkart.com/helpcentre to assist you. thanks for your patience!",8.29,Flipkart
Harsh Kashyap,Excellent,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Narendra Kumar,Good,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Kevin Bhandari,Nice,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Nirso Hansda,Very nice,5,0,8.3,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.3,Flipkart
Debjyoti Majumder,Love it,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Hobalesh Nayak,Super,4,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Devanand Wankhade,Ok,1,0,8.29,11-08-2025,"Hi flipkart user, thank you for your kind words! would you also like to give us more stars? 5 stars - very good, 4 stars- good, 3 stars - okay, 2 stars - bad, 1 star- very bad",8.29,Flipkart
Sumit,Nice,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
HÃPPY gaming,Product is very good,5,0,8.27,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.27,Flipkart
Girish Gowda,Super,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Madhu Kumari,Nice,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Sameer,Nice,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
mohamed ibrahim,Nice,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
prabhu V,nan,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Aftab Alam,nan,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Tabijul Sk,Good,5,0,8.28,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.28,Flipkart
DILIP BARMAN,Good,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Thala Arun,Good,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Swapan Das,Best app for shopping,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Virendra Kumar,Good,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Sameer Gurung,Very bakwas app na costomer care se baat ho sakta he order kaha gaya kab milega koi ata pata nahi lagta jab tak hum khud tang aakar apna order cancel na kar de tab tak hafto tak latka k rakhte he uss order k liye . na dilever karte he na cacel. bakwas....,1,0,Unkown,11-08-2025,No Reply,Unknown,Flipkart
Bhavesh Mendpara,Nice,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Sibadittya Lodh,Very good,5,0,8.28,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.28,Flipkart
Sajan Tamang,Good,1,0,8.29,11-08-2025,"Hi flipkart user, thank you for your kind words! would you also like to give us more stars? 5 stars - very good, 4 stars- good, 3 stars - okay, 2 stars - bad, 1 star- very bad",8.29,Flipkart
Niteesh yadav Rashmi,Thank you,5,0,Unkown,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",Unknown,Flipkart
9DS Legend Op,Bad experience late delivery,1,0,8.29,11-08-2025,"Hi flipkart user, we are sorry about your bad experience with us. please get in touch with us at www.flipkart.com/helpcentre to assist you. thanks for your patience!",8.29,Flipkart
Kishan Kant Chauhan,Good product,5,0,8.3,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.3,Flipkart
Sunaram singh,I am very happy,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
A Google user,Nice,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Agrim Gupta,Very good,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
shailesh kumar,Good,3,0,8.29,11-08-2025,"Thanks so much for the awesome feedback, shailesh! if you think we deserve a higher rating, we'd love for you to update it to a 4 or 5 star when you get a chance!",8.29,Flipkart
Sumi Kousaleya,Nice app all times,1,0,8.29,11-08-2025,"Hi flipkart user, thank you for your kind words! would you also like to give us more stars? 5 stars - very good, 4 stars- good, 3 stars - okay, 2 stars - bad, 1 star- very bad",8.29,Flipkart
Sai swaroop Sahu,nan,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Sathya Kiran,Good,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Ayub Khan Koyree,ओके,5,0,8.28,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.28,Flipkart
Charles Pauly,Mandatory protection fee and handling fee are costly,1,0,8.21,11-08-2025,No Reply,8.21,Flipkart
Vineet Joshi,"The delivery executive missed my package and now my order is delayed by 5 days. the app claims i requested to reschedule the delivery. one of the worst apps, zero reliability. and false claims that the customer requested to reschedule when it's clearly flipkart's fault the delivery was messed up. never trust this app. other apps are much more professional.",1,0,8.29,11-08-2025,"Hi flipkart user, we are sorry about your bad experience with us. please get in touch with us at www.flipkart.com/helpcentre to assist you. thanks for your patience!",8.29,Flipkart
Geeta Devi,It blocks myy account on returning 2 orders thats are not fit to me worst app,1,0,Unkown,11-08-2025,No Reply,Unknown,Flipkart
Aniket Sangare,Nice,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Tara Pariyar,Nice,5,0,Unkown,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",Unknown,Flipkart
Sachin Kumar,Best seller app,5,0,8.3,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.3,Flipkart
Rahul Yadav,Good,5,0,8.1,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.1,Flipkart
Tushar Pandey,Great,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Prabhudas Mandal,Nice app,5,0,8.28,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.28,Flipkart
SK NABAB SHARIF,Beutiful,5,0,8.3,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.3,Flipkart
sumit singh,Worst experience this time and even the customer support is also very worst. while purchasing they are showing express delivery by tomorrow but after ordering its more than 5 days but still its not delivered and even customer support is not able to answer why it got delayed. while in app repeatedly they are changing the status and even after calling customer support no help provided from their end. they are telling you will receive a callback from our team but no one is calling.,1,0,8.29,11-08-2025,"Sumit sorry, we've kept you waiting for your order. write to us securely with your order and app store details at user-experience@flipkart.com and mention your app store details, so that we can sort this for you quickly.",8.29,Flipkart
Adarsh Mall,Very good,5,0,Unkown,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",Unknown,Flipkart
Yogendra,Good job,3,0,8.29,11-08-2025,"It's lovely to know that you're enjoying services on our platform, yogendra! if you think a higher rating fits, you can update it to a 4 or 5 anytime.",8.29,Flipkart
Debasish Tudu,nan,5,0,8.23,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.23,Flipkart
MINESH . V,Good,5,0,8.3,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.3,Flipkart
Subhas Dabade,Good quality,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Narayan Kumawat,Nice,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Maria Joseph,Good,4,0,8.27,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.27,Flipkart
Rameema Rafeeq,Fast delivery than amazon,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Narayan Murmu,Good,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Nayana Babariya,Return karne pr apne paise nhi milte bakwas...ise acha amazon hai,1,0,Unkown,11-08-2025,"Nayana, timely refund is our priority and i'm sorry it's taken long. help us make this right by writing to us securely at user-experience@flipkart.com with your order and app store details.",Unknown,Flipkart
M Ravinder reddy,More offers not available,1,0,8.29,11-08-2025,No Reply,8.29,Flipkart
ishan01us,"Flipkart is the worst experience - an open delivery item is not the right thing to open in front of the delivery person. we paid for something to gift someone & here our money is going in the wrong way. flipkart delivery people should not focus on opening it and they are saying open delivery as per the flipkart said by the delivery person.. then what is the use of that,if customer is not able to use or open as per his choice however its a hard money of customer &customer care no is not working.",1,0,8.3,11-08-2025,No Reply,8.3,Flipkart
DHARUN GOWSI,Super,4,0,8.28,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.28,Flipkart
Manish Sharma,Best app,5,0,Unkown,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",Unknown,Flipkart
Lakhan Kumar,Good,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Asma Faridi,Very good app,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Akeam konyak,Good,4,0,8.3,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.3,Flipkart
Vimal Gadham,Good,5,0,Unkown,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",Unknown,Flipkart
Digesh Verma,Very nice,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Raja babu Chauhan,Nice,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Pinky Dhal,Nice,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Ashish Sahu,Ok,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Harish jai bhim,Ok,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Monu Maurya,Super nice,5,0,8.3,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.3,Flipkart
RINKU SIR COMMERCE,Good,1,0,8.29,11-08-2025,"Hi flipkart user, thank you for your kind words! would you also like to give us more stars? 5 stars - very good, 4 stars- good, 3 stars - okay, 2 stars - bad, 1 star- very bad",8.29,Flipkart
Shivam Kumar,Very nice,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
rajvlam kumar,Good,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Surendra Mohanta,Very nice,5,0,8.3,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.3,Flipkart
Aliyaan Prince,Osm,5,0,8.27,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.27,Flipkart
Subham Mishra,Good,5,0,8.15,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.15,Flipkart
Mintu Banik,Thank you flipkart,5,0,Unkown,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",Unknown,Flipkart
Bikram Bala,Good,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Nitish Kumar,Good,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Prajwal Ovhal,"Fraud, full of harassment everytime same worst exp thank you flipkart for all the harassment and fraud you are doing with the customers. the products are never delivered on the expected delivery time. the delivery partner changes the delivery date and the chat support tells that the order is rescheduled by the customers side. everyday you will receive a message that your order is out for delivery but it will not arrive. apps chat support will lie to you that they tried to deliver the order.",1,0,8.25,11-08-2025,"Hi flipkart user, we are sorry about your bad experience with us. please get in touch with us at www.flipkart.com/helpcentre to assist you. thanks for your patience!",8.25,Flipkart
Banavath Nithin,Awesome shopping experience,5,0,Unkown,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",Unknown,Flipkart
Danish Alam,Thanks flipkart,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Nivrutinath Rupnar,Nice,5,0,8.27,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.27,Flipkart
Manraj Chandrawanshi,Op gajab,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Dharm Das,Very good,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Manjeet Singh,Good service,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Shyama Devi,Good product,5,0,8.26,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.26,Flipkart
Abhishek,Worst app always invoice generating problem arises invoice not downloaded,1,0,8.29,11-08-2025,"Abhishek, sorry about the invoice issue. you can count on us to look into this and sort it out as soon as possible. please write to us securely at user-experience@flipkart.com and mention your order and app store details so we can help.",8.29,Flipkart
sadaf Pinjari,Good,4,0,8.28,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.28,Flipkart
Mathaka Venkataramana,Nice,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Pradeep Patel,Paid,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
RANCHI ALOK RAVI SINGER143,Awesome,5,0,8.13,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.13,Flipkart
Sardeep lugriya,nan,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Ayush Rana,Good app,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Manoj Guru,nan,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Apu Paik,Ok,3,0,8.15,11-08-2025,No Reply,8.15,Flipkart
Mrigen Bhattarai,Good,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Ashutosh Dixit,Let me think,5,0,8.3,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.3,Flipkart
Riya Yadav,The products quality of flipkart are awosome.,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Suraj Shilpi,Good,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
satyajit mohapatra,The worst app in the market... disgusting..the competitors are way much better...,1,0,8.28,11-08-2025,No Reply,8.28,Flipkart
Hima Khatun,Gooo,5,0,8.28,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.28,Flipkart
S A N J U S A N J U,Super,1,0,8.24,11-08-2025,"Hi flipkart user, thank you for your kind words! would you also like to give us more stars? 5 stars - very good, 4 stars- good, 3 stars - okay, 2 stars - bad, 1 star- very bad",8.24,Flipkart
payal Verma,Thik thik,3,0,8.29,11-08-2025,No Reply,8.29,Flipkart
saurabh pandey,Fast service,4,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Gagan kumar,Main flipkart se lower for men buy karna chahta tha lekin jo size chart vo bilkul samjh nahi aaya agar chart c.m me hota to main buy kar sakta tha.. isliye main market gya or vahan se laya,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Shahbaaz Khan,If i had an option i would have given 0 stars.. i used this app so much ordered so many product and now i want to reach out to them they have no customer or chat support i tried everything... the worst app i would request anyone reading this please uninstall this app.. i want flipkart to either call me as i have a fraud order on my name..,1,0,8.29,11-08-2025,No Reply,8.29,Flipkart
Amit Mishra,एक्सिलेंट शॉपिंग बेवसाइट,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Goli Satti,Good service,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
m Sharan Sharan,Good,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Omm prakash Patra,"Very worst app,",1,0,8.29,11-08-2025,No Reply,8.29,Flipkart
Surja mandal,Just wow,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Asit Dash,Nice,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Tammineni Prasanth kumar,Waste service flipkart. karab item delivered. not return policy. waste service flipkart,1,0,8.29,11-08-2025,"Prasanth sorry, your return experience hasn't been smooth. you can count on us to resolve your concern. please write to us with your order and app store details securely at user-experience@flipkart.com and mention your app store details.",8.29,Flipkart
Jaya Ram,"Hi friends don't order electronics iteam in flipkart recently i was ordered one laptop this item is allaredy used by another customer, but i will raised complaint past 20 days but still not return my package",1,0,8.29,11-08-2025,"Jaya sorry, your return experience hasn't been smooth. you can count on us to resolve your concern. please write to us with your order and app store details securely at user-experience@flipkart.com and mention your app store details.",8.29,Flipkart
HIMANSHU KUMAR,Best,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Prerana Gavai,Very nice very easy to understand,5,0,8.21,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.21,Flipkart
Satyavathi,Good,4,0,8.3,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.3,Flipkart
Shalesh Kumar,Super,3,0,8.19,11-08-2025,"Thanks so much for the awesome feedback, shalesh! if you think we deserve a higher rating, we'd love for you to update it to a 4 or 5 star when you get a chance!",8.19,Flipkart
Soniya Davi,Ok,5,0,8.28,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.28,Flipkart
Laxmikanta Chakraborty,Nice,4,0,8.3,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.3,Flipkart
varuna ms,Good,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Narendra Sawwalakhe,Nice work,4,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Rajesh Rajput,Nice,3,0,8.3,11-08-2025,"Thanks for the love, rajesh! if you’re happy with everything, a 5-star rating would mean the world to us!",8.3,Flipkart
Gulab singh Parihar,Good apps fast delivery flipkart love you so happy,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Abdul Aslam.m,Super app,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Shaikh Taher,Best aap very helpful,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
